sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Organ	sex	retina_region	strain
SRS3675051	SRR7699846	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840193	Eye	NA	NA	CD1
SRS3675063	SRR7699860	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840226	Eye	NA	NA	CD1
SRS3675070	SRR7699867	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840219	Eye	NA	NA	CD1
SRS3675081	SRR7699879	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840253	Eye	NA	NA	CD1
SRS3675092	SRR7699889	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840260	Eye	NA	NA	CD1
SRS3675099	SRR7699897	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840301	Eye	NA	NA	CD1
SRS3675106	SRR7699904	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840294	Eye	NA	NA	CD1
SRS3675107	SRR7699905	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840293	Eye	NA	NA	CD1
SRS3675113	SRR7699911	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840287	Eye	NA	NA	CD1
SRS3675147	SRR7699944	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840350	Eye	NA	NA	CD1
SRS3675148	SRR7699946	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840348	Eye	NA	NA	CD1
SRS3675169	SRR7699965	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840275	Eye	NA	NA	CD1
SRS3675171	SRR7699967	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840273	Eye	NA	NA	CD1
SRS3675186	SRR7699980	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840684	Eye	NA	NA	CD1
SRS3675191	SRR7699986	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840678	Eye	NA	NA	CD1
SRS3675194	SRR7699989	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840675	Eye	NA	NA	CD1
SRS3675227	SRR7700021	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840739	Eye	NA	NA	CD1
SRS3675229	SRR7700024	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840736	Eye	NA	NA	CD1
SRS3675251	SRR7700043	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-5	Early	NA	Tissue	NA	NA	SAMN09840465	Eye	NA	NA	CD1
SRS3675276	SRR7700074	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840485	Eye	NA	NA	CD1
SRS3675281	SRR7700076	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840483	Eye	NA	NA	CD1
SRS3675457	SRR7700082	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840530	Eye	NA	NA	CD1
SRS3675287	SRR7700083	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840529	Eye	NA	NA	CD1
SRS3675293	SRR7700089	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840523	Eye	NA	NA	CD1
SRS3675295	SRR7700092	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840520	Eye	NA	NA	CD1
SRS3675303	SRR7700100	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840633	Eye	NA	NA	CD1
SRS3675316	SRR7700113	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840620	Eye	NA	NA	CD1
SRS3675323	SRR7700120	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840670	Eye	NA	NA	CD1
SRS3675343	SRR7700140	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840584	Eye	NA	NA	CD1
SRS3675348	SRR7700145	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840567	Eye	NA	NA	CD1
SRS3675351	SRR7700149	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840563	Eye	NA	NA	CD1
SRS3675357	SRR7700152	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840560	Eye	NA	NA	CD1
SRS3675355	SRR7700153	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840559	Eye	NA	NA	CD1
SRS3675364	SRR7700158	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840612	Eye	NA	NA	CD1
SRS3675360	SRR7700159	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840611	Eye	NA	NA	CD1
SRS3675374	SRR7700171	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840599	Eye	NA	NA	CD1
SRS3675383	SRR7700179	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840644	Eye	NA	NA	CD1
SRS3675393	SRR7700190	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840660	Eye	NA	NA	CD1
SRS3675395	SRR7700192	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840658	Eye	NA	NA	CD1
SRS3675399	SRR7700195	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840655	Eye	NA	NA	CD1
SRS3675406	SRR7700204	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840646	Eye	NA	NA	CD1
SRS3675408	SRR7700205	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840645	Eye	NA	NA	CD1
SRS3675413	SRR7700211	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840693	Eye	NA	NA	CD1
SRS3675416	SRR7700212	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840692	Eye	NA	NA	CD1
SRS3675417	SRR7700214	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840690	Eye	NA	NA	CD1
SRS3675419	SRR7700215	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840689	Eye	NA	NA	CD1
SRS3675448	SRR7700244	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840766	Eye	NA	NA	CD1
SRS3675450	SRR7700249	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840761	Eye	NA	NA	CD1
SRS3675474	SRR7700273	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840513	Eye	NA	NA	CD1
SRS3675480	SRR7700277	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840509	Eye	NA	NA	CD1
SRS3675489	SRR7700285	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840552	Eye	NA	NA	CD1
SRS3675496	SRR7700290	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840547	Eye	NA	NA	CD1
SRS3675500	SRR7700296	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840541	Eye	NA	NA	CD1
SRS3675502	SRR7700298	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840539	Eye	NA	NA	CD1
SRS3675514	SRR7700310	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840470	Eye	NA	NA	CD1
SRS3675527	SRR7700322	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840807	Eye	NA	NA	CD1
SRS3675531	SRR7700324	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840805	Eye	NA	NA	CD1
SRS3675536	SRR7700330	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840799	Eye	NA	NA	CD1
SRS3675538	SRR7700331	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840842	Eye	NA	NA	CD1
SRS3675539	SRR7700337	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840925	Eye	NA	NA	CD1
SRS3675740	SRR7700352	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840959	Eye	NA	NA	CD1
SRS3675562	SRR7700359	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	-1	Early	NA	Tissue	NA	NA	SAMN09840952	Eye	NA	NA	CD1
SRS3675560	SRR7700361	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840950	Eye	NA	NA	CD1
SRS3675578	SRR7700375	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840946	Eye	NA	NA	CD1
SRS3675583	SRR7700382	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840939	Eye	NA	NA	CD1
SRS3675586	SRR7700385	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840936	Eye	NA	NA	CD1
SRS3675590	SRR7700389	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840932	Eye	NA	NA	CD1
SRS3675592	SRR7700390	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840931	Eye	NA	NA	CD1
SRS3675601	SRR7700399	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840875	Eye	NA	NA	CD1
SRS3675600	SRR7700401	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840873	Eye	NA	NA	CD1
SRS3675611	SRR7700410	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840919	Eye	NA	NA	CD1
SRS3675631	SRR7700431	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840851	Eye	NA	NA	CD1
SRS3675634	SRR7700433	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840845	Eye	NA	NA	CD1
SRS3675641	SRR7700439	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840843	Eye	NA	NA	CD1
SRS3675652	SRR7700451	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840883	Eye	NA	NA	CD1
SRS3675659	SRR7700459	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840833	Eye	NA	NA	CD1
SRS3675663	SRR7700462	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840826	Eye	NA	NA	CD1
SRS3675675	SRR7700473	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840819	Eye	NA	NA	CD1
SRS3675686	SRR7700487	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840998	Eye	NA	NA	CD1
SRS3675690	SRR7700489	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840996	Eye	NA	NA	CD1
SRS3675696	SRR7700495	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09840990	Eye	NA	NA	CD1
SRS3675720	SRR7700519	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841021	Eye	NA	NA	CD1
SRS3675730	SRR7700529	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841013	Eye	NA	NA	CD1
SRS3675734	SRR7700532	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841008	Eye	NA	NA	CD1
SRS3675738	SRR7700536	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841004	Eye	NA	NA	CD1
SRS3675852	SRR7700545	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841077	Eye	NA	NA	CD1
SRS3675755	SRR7700551	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841071	Eye	NA	NA	CD1
SRS3675763	SRR7700561	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841061	Eye	NA	NA	CD1
SRS3675781	SRR7700579	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841046	Eye	NA	NA	CD1
SRS3675785	SRR7700583	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841041	Eye	NA	NA	CD1
SRS3675796	SRR7700596	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841029	Eye	NA	NA	CD1
SRS3675815	SRR7700613	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841131	Eye	NA	NA	CD1
SRS3675823	SRR7700621	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841123	Eye	NA	NA	CD1
SRS3675841	SRR7700641	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841098	Eye	NA	NA	CD1
SRS3675844	SRR7700642	PAIRED	Mus musculus	SMARTSeq_v2	NO	SRP158081	Retina	Rep1	2	Early	NA	Tissue	NA	NA	SAMN09841097	Eye	NA	NA	CD1
SRS3698225	SRR7733536	PAIRED	Macaca fascicularis	10xv2	YES	SRP158528	Retina	Macaque1	1000	Late	NA	Tissue	MacaqueCD90S2.bam	NA	SAMN09873013	Eye	NA	Peripheral	NA
SRS3698232	SRR7733542	PAIRED	Macaca fascicularis	10xv2	YES	SRP158528	Retina	Macaque3	1000	Late	NA	Tissue	MacaqueCD90S8.bam	NA	SAMN09873004	Eye	NA	Peripheral	NA
SRS3698262	SRR7733545	PAIRED	Macaca fascicularis	10xv2	YES	SRP158528	Retina	Macaque1	1000	Late	NA	Tissue	MacaqueCD90PNA_S1.bam	NA	SAMN09873000	Eye	NA	Peripheral	NA
#SRS3698216	SRR7733526	PAIRED	Macaca fascicularis	10xv2	YES	SRP157927	Retina	Macaque4	1000	Late	NA	Tissue	M4Fovea1.bam	NA	SAMN09872956	Eye	NA	Macula	NA
#SRS3698217	SRR7733527	PAIRED	Macaca fascicularis	10xv2	YES	SRP157927	Retina	Macaque4	1000	Late	NA	Tissue	M4Fovea2.bam	NA	SAMN09872955	Eye	NA	Macula	NA
SRS3731634	SRR7775492	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942154	Eye	NA	NA	NA
SRS3731642	SRR7775500	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942218	Eye	NA	NA	NA
SRS3731643	SRR7775501	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942217	Eye	NA	NA	NA
SRS3731650	SRR7775508	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942210	Eye	NA	NA	NA
SRS3731658	SRR7775515	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942203	Eye	NA	NA	NA
SRS3731657	SRR7775516	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942202	Eye	NA	NA	NA
SRS3731659	SRR7775517	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942201	Eye	NA	NA	NA
SRS3731673	SRR7775531	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942294	Eye	NA	NA	NA
SRS3731681	SRR7775537	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942317	Eye	NA	NA	NA
SRS3731679	SRR7775538	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942316	Eye	NA	NA	NA
SRS3731693	SRR7775551	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942308	Eye	NA	NA	NA
SRS3731696	SRR7775553	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942184	Eye	NA	NA	NA
SRS3731748	SRR7775606	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942247	Eye	NA	NA	NA
SRS3731765	SRR7775623	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942230	Eye	NA	NA	NA
SRS3731775	SRR7775634	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942287	Eye	NA	NA	NA
SRS3731785	SRR7775642	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942279	Eye	NA	NA	NA
SRS3731795	SRR7775653	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942268	Eye	NA	NA	NA
SRS3731816	SRR7775674	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942445	Eye	NA	NA	NA
SRS3731825	SRR7775683	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942436	Eye	NA	NA	NA
SRS3731834	SRR7775692	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942506	Eye	NA	NA	NA
SRS3731851	SRR7775709	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942489	Eye	NA	NA	NA
SRS3731852	SRR7775711	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942487	Eye	NA	NA	NA
SRS3731857	SRR7775715	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942483	Eye	NA	NA	NA
SRS3731887	SRR7775742	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942421	Eye	NA	NA	NA
SRS3731901	SRR7775759	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942403	Eye	NA	NA	NA
SRS3731904	SRR7775762	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942401	Eye	NA	NA	NA
SRS3731929	SRR7775788	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942387	Eye	NA	NA	NA
SRS3731955	SRR7775815	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942366	Eye	NA	NA	NA
SRS3731967	SRR7775826	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942343	Eye	NA	NA	NA
SRS3731972	SRR7775831	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942338	Eye	NA	NA	NA
SRS3731974	SRR7775833	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942336	Eye	NA	NA	NA
SRS3731994	SRR7775853	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09942353	Eye	NA	NA	NA
SRS3732012	SRR7775871	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943282	Eye	NA	NA	NA
SRS3732019	SRR7775880	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943330	Eye	NA	NA	NA
SRS3732023	SRR7775884	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943334	Eye	NA	NA	NA
SRS3732034	SRR7775895	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943322	Eye	NA	NA	NA
SRS3732035	SRR7775896	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943321	Eye	NA	NA	NA
SRS3732043	SRR7775903	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943314	Eye	NA	NA	NA
SRS3732048	SRR7775908	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943309	Eye	NA	NA	NA
SRS3732055	SRR7775914	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943258	Eye	NA	NA	NA
SRS3732062	SRR7775922	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943250	Eye	NA	NA	NA
SRS3732074	SRR7775934	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943303	Eye	NA	NA	NA
SRS3732090	SRR7775948	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943223	Eye	NA	NA	NA
SRS3732093	SRR7775951	SINGLE	Homo sapiens	SCRBSeq	NO	SRP159286	Retina	NA	240	Late	NA	Organoid	NA	NA	SAMN09943220	Eye	NA	NA	NA
